"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"1","3608","554","994","1232","1397","1492","1573","1630","1692","1738"
"2","124","35","56","60","67","70","72","72","75","74"
"3","444","115","173","202","228","240","250","256","261","267"
"4","696","209","313","374","401","418","435","451","459","465"
"5","3085","355","780","938","1088","1185","1255","1325","1384","1422"
"6","918","224","358","412","461","493","509","523","534","543"
"7","781","125","261","313","362","392","413","427","441","451"
"8","2731","359","850","1004","1175","1242","1312","1361","1404","1436"
"9","473","151","243","274","292","303","312","319","324","328"
"10","329","38","93","101","131","141","147","152","156","163"
"11","213","46","77","96","105","112","120","121","123","124"
"12","315","93","153","175","189","197","205","212","218","220"
"13","826","300","497","561","589","605","616","621","625","630"
"14","506","180","305","337","353","362","368","374","378","380"
"15","1793","413","778","890","969","1033","1076","1114","1135","1152"
"16","299","34","101","114","126","128","131","136","142","145"
"17","1495","368","591","691","754","812","847","880","918","940"
"18","515","26","125","133","164","175","187","191","201","204"
"19","2213","482","775","929","1056","1144","1202","1255","1287","1325"
"20","243","68","133","140","148","149","149","154","156","156"
"21","262","54","102","116","127","134","139","141","147","148"
"22","1344","296","503","601","682","712","746","782","813","821"
"23","254","50","85","106","118","126","131","134","140","144"
"24","499","114","190","217","242","260","275","283","287","293"
"25","415","102","166","190","208","217","223","234","244","248"
"26","209","62","107","128","141","142","143","143","145","150"
"27","1706","402","679","810","899","957","1003","1041","1066","1089"
"28","1414","266","468","573","647","705","743","773","798","815"
"29","855","211","372","429","474","497","518","537","544","544"
"30","1480","384","616","697","760","796","830","860","879","898"
"31","521","89","163","198","223","245","260","267","278","287"
"32","847","76","190","242","283","316","334","352","360","368"
"33","1658","210","406","504","586","637","684","719","748","766"
"34","678","244","356","400","440","465","479","489","500","507"
"35","499","105","181","209","234","243","254","263","265","274"
"36","3613","433","920","1133","1315","1427","1550","1617","1679","1732"
"37","282","73","117","140","149","161","168","171","173","173"
"38","433","56","132","157","178","196","206","211","222","222"
"39","645","86","179","230","269","283","293","305","313","322"
"40","716","214","333","383","419","436","458","470","474","478"
"41","728","153","346","386","410","428","435","442","446","448"
"42","1475","281","422","520","581","625","656","690","714","734"
"43","1197","197","363","452","509","554","588","609","630","644"
"44","833","264","469","519","552","568","584","593","600","604"
"45","398","93","153","174","190","203","214","224","231","232"
"46","920","130","336","373","426","448","462","480","489","496"
"47","3078","683","1157","1367","1530","1615","1695","1744","1792","1845"
"48","220","63","92","103","108","115","119","119","125","129"
"49","1198","170","419","504","554","584","613","628","643","654"
"50","1215","120","383","439","521","561","596","619","635","646"
"51","709","193","358","394","436","450","461","470","475","478"
"52","275","108","163","185","196","210","213","213","212","214"
"53","816","226","394","461","515","537","547","555","558","565"
"54","2507","235","531","644","751","820","891","943","984","1018"
"55","2511","219","656","749","875","938","1007","1039","1086","1103"
"56","2339","431","763","925","1037","1114","1165","1224","1265","1297"
"57","343","95","165","191","207","212","223","226","227","229"
"58","770","242","354","417","458","494","510","526","537","543"
"59","474","132","215","248","272","287","294","297","302","306"
"60","238","51","105","120","127","131","132","135","139","139"
"61","1664","392","612","741","816","865","907","942","968","988"
"62","343","101","146","168","184","193","200","205","213","213"
"63","1644","514","809","913","994","1038","1071","1104","1123","1136"
"64","1087","375","568","650","695","722","746","766","780","787"
"65","1809","220","462","561","637","689","731","765","793","822"
"66","2738","797","1270","1481","1636","1743","1814","1864","1902","1934"
"67","243","66","110","128","139","142","145","149","154","157"
"68","224","64","104","110","119","126","130","132","134","134"
"69","965","262","430","517","562","593","625","639","655","664"
"70","370","124","201","226","235","241","251","257","259","261"
"71","1161","241","581","651","691","701","712","723","727","729"
"72","445","96","182","213","236","248","259","262","266","268"
"73","228","62","94","109","114","124","131","138","141","145"
"74","1135","328","548","627","684","725","753","772","786","799"
"75","511","137","237","271","294","314","321","325","331","334"
"76","2159","620","1052","1185","1283","1347","1400","1430","1455","1475"
"77","330","127","190","211","220","225","237","241","245","247"
"78","3047","723","1221","1434","1585","1673","1753","1814","1857","1892"
"79","590","220","312","354","390","409","419","425","433","439"
"80","1479","301","489","581","649","711","747","772","805","833"
"81","896","157","352","415","450","475","507","523","528","532"
"82","670","150","248","297","328","344","359","368","378","383"
"83","1560","327","555","657","722","778","821","850","873","900"
"84","352","58","126","152","171","180","185","189","194","195"
"85","283","97","140","164","172","179","185","191","192","192"
"86","699","191","327","376","417","436","451","458","469","475"
"87","372","103","177","194","210","221","229","234","243","249"
"88","536","150","253","290","323","337","357","366","379","390"
"89","414","114","187","215","230","247","260","266","271","276"
"90","238","41","90","105","115","120","127","127","129","132"
"91","754","159","259","311","350","375","390","404","414","422"
"92","1933","418","687","834","928","995","1064","1105","1137","1172"
"93","222","54","95","107","113","120","124","130","133","134"
"94","148","36","69","74","86","89","93","94","94","95"
"95","115","61","78","89","91","94","94","95","94","93"
"96","1547","461","719","840","922","960","996","1022","1045","1059"
"97","839","208","351","412","467","491","518","534","547","563"
"98","1406","289","491","595","666","722","758","792","815","831"
"99","304","60","106","137","150","164","180","184","187","187"
"100","285","75","128","149","158","171","174","180","185","188"
"101","1309","371","613","728","800","825","855","875","888","903"
"102","354","110","167","187","207","219","225","232","244","247"
"103","423","128","197","232","251","259","268","274","279","283"
"104","1737","358","622","731","813","881","937","980","1005","1039"
"105","408","62","120","142","170","179","186","192","201","204"
"106","1004","154","296","372","432","465","502","518","535","549"
"107","1136","155","360","406","475","512","552","575","591","604"
"108","208","48","76","92","99","109","111","115","117","119"
"109","1290","124","296","386","432","464","499","525","541","557"
"110","894","137","246","299","336","364","388","405","418","431"
"111","547","153","254","296","320","335","350","358","362","368"
"112","624","172","288","330","367","390","411","427","436","444"
