"session_id","total_utterances","strict_2_1","strict_3_1","strict_4_1","strict_5_1","strict_6_1","strict_7_1","strict_8_1","strict_9_1","strict_10_1"
"1","3608","387","721","906","1042","1134","1195","1243","1305","1339"
"2","124","27","43","47","56","60","63","64","66","66"
"3","444","89","133","157","181","191","200","207","213","222"
"4","696","162","243","286","314","330","347","363","374","386"
"5","3085","267","589","695","819","888","941","997","1038","1081"
"6","918","185","290","347","379","411","430","441","454","462"
"7","781","85","184","222","260","287","307","321","336","346"
"8","2731","232","629","730","880","945","1021","1066","1114","1147"
"9","473","118","196","229","239","254","264","270","275","281"
"10","329","26","68","78","102","105","112","113","119","125"
"11","213","24","48","63","71","80","91","93","93","97"
"12","315","71","126","141","156","165","175","182","187","189"
"13","826","240","416","472","514","533","547","560","569","574"
"14","506","129","242","268","294","305","308","315","322","325"
"15","1793","295","616","701","783","844","895","933","959","976"
"16","299","22","78","86","98","100","104","110","116","119"
"17","1495","253","430","511","563","607","639","672","702","723"
"18","515","19","87","94","119","126","138","143","151","155"
"19","2213","342","564","699","807","884","941","992","1027","1060"
"20","243","51","110","118","131","133","135","140","144","145"
"21","262","38","79","90","99","103","108","109","113","118"
"22","1344","196","364","443","510","548","577","603","628","645"
"23","254","37","59","74","84","90","95","97","103","107"
"24","499","79","141","163","183","197","208","216","223","228"
"25","415","74","123","146","164","170","179","186","195","200"
"26","209","42","78","95","111","117","119","124","129","131"
"27","1706","294","524","619","689","738","785","826","856","875"
"28","1414","184","321","395","464","509","546","575","600","613"
"29","855","143","279","330","380","402","428","444","456","465"
"30","1480","287","479","548","599","640","666","695","715","737"
"31","521","61","123","151","172","186","202","210","217","223"
"32","847","64","148","185","224","248","261","274","282","291"
"33","1658","170","315","386","451","490","530","554","587","604"
"34","678","171","268","310","352","376","388","402","413","420"
"35","499","80","131","148","165","175","184","195","201","209"
"36","3613","323","671","821","953","1043","1141","1211","1265","1316"
"37","282","52","90","113","122","136","142","149","150","151"
"38","433","30","87","103","119","128","144","148","153","155"
"39","645","61","137","168","189","202","215","230","237","249"
"40","716","144","228","274","320","339","360","373","383","395"
"41","728","81","237","285","315","340","357","367","377","384"
"42","1475","206","328","396","438","474","499","516","533","550"
"43","1197","134","259","324","380","422","447","467","487","500"
"44","833","195","377","426","461","484","508","522","528","535"
"45","398","67","111","130","139","153","162","170","176","179"
"46","920","90","237","272","320","344","367","385","390","402"
"47","3078","517","897","1065","1194","1275","1343","1397","1441","1486"
"48","220","47","67","74","81","87","92","93","98","101"
"49","1198","118","307","365","413","440","476","499","524","540"
"50","1215","89","299","331","405","430","471","482","500","517"
"51","709","129","250","284","327","345","367","385","393","399"
"52","275","83","129","144","158","173","181","183","186","189"
"53","816","162","295","352","413","434","453","468","476","486"
"54","2507","180","408","487","571","628","687","733","771","806"
"55","2511","155","472","548","648","689","748","775","811","827"
"56","2339","303","566","686","784","854","917","961","1007","1034"
"57","343","69","117","140","157","166","176","186","191","193"
"58","770","162","245","299","334","369","387","409","422","429"
"59","474","94","170","200","220","236","245","250","255","265"
"60","238","45","87","101","109","111","112","115","121","125"
