"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"498","1891","307","490","575","631","666","712","750","794","814"
"504","199","31","49","56","61","64","68","74","76","75"
"506","239","36","51","64","73","78","85","93","98","101"
"520","552","133","207","239","258","269","279","289","297","303"
"527","966","232","343","395","428","462","488","508","525","528"
"533","29","8","9","12","11","11","11","11","11","11"
"561","589","141","189","221","236","247","262","269","279","289"
"562","1076","208","325","388","420","442","469","490","500","515"
"576","94","18","27","31","37","39","41","42","42","42"
"577","422","86","128","147","163","177","192","197","205","217"
"582","148","44","63","76","81","86","87","91","94","95"
"587","404","59","100","111","120","135","145","153","157","162"
"665","242","36","51","62","68","73","74","77","80","84"
"671","62","10","13","18","18","19","20","22","21","22"
"689","333","80","121","140","152","161","162","167","169","173"
"700","85","23","39","44","49","53","54","54","56","56"
"702","115","14","27","33","38","41","40","42","46","46"
"711","656","224","287","315","338","356","369","382","393","403"
