"session_id","total_utterances","strict_2_1","strict_3_1","strict_4_1","strict_5_1","strict_6_1","strict_7_1","strict_8_1","strict_9_1","strict_10_1"
"498","1891","180","271","307","333","351","370","387","400","413"
"504","199","12","18","19","21","22","23","24","26","26"
"506","239","15","21","28","29","33","36","37","37","40"
"520","552","70","98","106","114","126","132","141","142","147"
"527","966","129","196","219","231","243","250","259","264","267"
"533","29","5","6","7","6","6","6","6","6","6"
"561","589","84","107","124","129","138","148","150","153","157"
"562","1076","105","167","191","208","218","226","234","239","242"
"576","94","4","5","6","8","9","10","12","12","12"
"577","422","34","46","57","61","64","69","70","74","76"
"582","148","15","21","30","32","35","38","39","43","44"
"587","404","28","52","57","61","64","69","71","74","75"
"665","242","18","22","24","27","30","29","29","32","35"
"671","62","7","9","10","10","10","10","10","10","10"
"689","333","47","67","78","84","87","88","90","90","91"
"700","85","13","25","27","28","28","28","28","30","30"
"702","115","4","6","8","10","11","11","11","11","10"
"711","656","119","153","171","188","200","207","211","214","218"
