"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"2","1064","178","312","401","496","576","641","699","753","796"
"3","2059","732","1102","1348","1476","1587","1657","1721","1762","1805"
"4","1198","425","644","793","863","908","939","966","986","1005"
"5","865","170","275","390","453","514","568","597","626","657"
"279","1562","343","607","772","926","1035","1119","1183","1235","1277"
"379","1783","435","723","916","1070","1194","1289","1362","1411","1443"
"380","615","125","222","301","345","392","423","449","471","489"
"381","1591","387","633","815","946","1047","1128","1193","1241","1271"
"382","2022","394","709","928","1086","1221","1337","1446","1512","1576"
"383","1461","348","587","761","892","981","1031","1076","1124","1172"
"384","584","122","218","274","335","380","406","437","458","471"
"385","1603","300","500","697","840","945","1041","1114","1175","1225"
"386","1199","284","467","595","687","759","814","871","910","934"
"387","1331","339","528","678","792","885","956","1008","1044","1080"
"388","3249","627","1123","1480","1774","1979","2154","2305","2421","2537"
"389","929","235","380","501","569","634","678","711","743","762"
"390","3384","712","1199","1599","1886","2102","2305","2467","2600","2682"
"391","1510","265","479","662","787","884","969","1032","1079","1134"
"392","1646","318","539","732","867","975","1056","1138","1201","1255"
"393","750","151","259","345","405","457","499","535","566","587"
"394","1631","302","558","725","866","988","1091","1161","1215","1258"
"395","1830","420","710","950","1123","1222","1318","1385","1450","1503"
"396","2202","453","779","1016","1207","1372","1479","1569","1653","1731"
"397","1136","222","401","509","606","697","761","810","857","889"
"398","1946","318","584","794","985","1110","1218","1298","1374","1435"
"400","2192","433","745","978","1188","1339","1455","1544","1636","1693"
"401","2712","544","970","1278","1541","1710","1851","1981","2073","2156"
"402","1734","319","572","752","912","1039","1149","1242","1306","1359"
"404","3754","772","1380","1786","2101","2365","2601","2758","2899","3008"
"405","1469","298","536","693","808","906","974","1037","1084","1121"
"406","1335","305","546","713","841","929","989","1049","1098","1131"
"407","594","128","226","301","343","384","416","438","457","472"
"408","2261","457","767","1022","1206","1381","1499","1600","1673","1752"
"409","1041","212","384","497","590","671","717","762","799","831"
"410","1945","417","705","933","1085","1209","1307","1372","1441","1501"
"411","772","119","240","316","399","453","488","522","544","569"
"412","1537","368","596","791","951","1047","1132","1191","1245","1277"
"413","972","155","306","403","469","541","591","634","679","703"
"414","1183","281","474","591","688","764","826","875","923","958"
"415","2056","407","732","985","1168","1329","1433","1523","1586","1641"
"417","2096","383","701","940","1117","1231","1355","1452","1528","1610"
"418","2677","677","1179","1509","1720","1882","1981","2057","2117","2182"
"419","1634","346","568","758","905","1017","1105","1176","1233","1289"
"420","165","66","112","133","146","147","152","151","152","151"
"421","942","271","420","525","592","631","669","705","726","740"
"422","889","334","507","605","651","690","724","742","758","773"
"423","2257","506","844","1080","1270","1404","1516","1603","1679","1733"
"424","1150","206","373","508","593","669","736","784","823","877"
"425","700","149","252","332","398","439","478","515","548","566"
"426","644","123","210","289","338","383","426","459","490","503"
"427","553","122","214","269","312","347","375","400","421","440"
"428","264","73","116","144","168","180","188","201","212","217"
"429","471","99","171","233","281","319","343","359","380","396"
"430","1510","295","532","687","825","931","1009","1081","1133","1184"
"431","433","110","180","240","280","309","322","343","358","368"
"432","541","159","253","315","366","395","420","446","468","480"
"434","809","193","355","471","531","588","627","660","691","703"
"435","1671","321","550","740","881","1010","1107","1189","1241","1294"
