"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"498","834","171","297","392","468","522","571","604","646","672"
"504","1125","148","254","349","441","495","545","601","655","701"
"506","352","83","144","189","220","242","257","275","286","296"
"520","347","97","151","196","226","250","274","288","301","306"
"527","832","161","304","404","494","547","593","629","657","681"
"533","1762","876","1267","1480","1582","1632","1675","1694","1708","1715"
"561","1372","187","322","426","535","621","700","764","811","871"
"562","697","82","132","176","226","267","304","337","361","385"
"576","723","141","265","362","415","473","513","548","571","586"
"577","423","46","102","137","168","191","208","226","247","272"
"582","778","197","335","452","531","595","635","667","693","708"
"587","699","182","314","397","473","516","550","583","601","616"
"665","549","154","248","301","359","394","424","445","466","479"
"671","562","82","140","195","246","294","320","348","377","393"
"689","1584","362","647","842","994","1105","1204","1275","1331","1381"
"700","734","243","374","462","520","562","595","625","635","651"
"702","421","86","143","189","223","253","274","294","313","334"
"711","599","129","228","302","357","400","438","464","484","500"
