"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"1","394","128","219","276","305","323","344","350","365","370"
"2","1064","932","1038","1058","1059","1059","1058","1057","1056","1055"
"3","2059","698","1138","1418","1617","1734","1818","1862","1902","1937"
"4","1198","651","918","1038","1111","1147","1164","1174","1179","1180"
"5","865","314","495","615","688","733","770","791","808","822"
"6","757","411","592","687","712","729","733","740","745","745"
"7","758","406","579","657","709","727","735","742","743","743"
"8","1368","904","1182","1281","1324","1348","1354","1357","1359","1359"
"9","245","81","133","176","197","213","217","224","227","228"
"10","748","411","594","665","700","720","729","733","735","737"
"11","732","392","558","639","685","703","710","715","717","719"
"12","919","637","817","881","899","904","909","910","910","909"
"13","768","635","735","757","764","763","762","761","760","759"
"14","391","308","369","379","385","384","384","383","382","382"
"15","195","155","181","187","191","190","189","188","187","186"
"16","237","153","199","211","223","225","227","227","227","227"
"17","530","194","296","368","418","454","476","498","505","507"
"18","969","704","888","941","953","959","961","961","960","960"
"19","800","301","482","578","637","680","714","739","754","760"
"20","900","875","897","897","896","895","894","893","892","891"
"21","218","135","189","205","206","210","212","211","210","209"
"22","712","251","416","515","580","623","643","658","668","674"
"23","253","113","169","197","219","228","233","237","240","240"
"24","209","90","126","155","166","178","184","186","187","189"
"25","1134","707","955","1061","1094","1111","1115","1120","1120","1122"
"26","421","302","380","400","410","411","411","412","411","412"
"27","989","481","739","847","907","937","956","969","972","974"
"28","1058","418","630","760","844","917","959","984","1000","1013"
"29","1195","796","1039","1126","1157","1174","1184","1187","1187","1186"
"30","667","280","410","498","554","590","613","627","634","636"
"31","369","210","293","330","342","347","356","358","358","357"
"32","787","366","531","615","673","710","739","759","765","769"
"33","476","193","297","352","386","410","429","438","442","446"
"34","1419","961","1249","1343","1380","1397","1403","1407","1408","1408"
"35","597","195","333","429","485","515","536","550","556","564"
"36","179","60","104","129","147","156","164","164","166","166"
"37","1103","595","873","988","1031","1058","1072","1084","1087","1088"
"38","845","384","562","669","731","772","800","808","815","821"
"39","1143","459","721","859","948","1008","1047","1077","1090","1094"
"40","962","513","738","832","889","919","934","943","949","953"
"41","562","464","538","556","558","557","556","555","554","553"
"42","754","267","431","518","587","634","661","679","695","705"
"43","870","366","522","636","713","753","783","798","814","822"
"44","1108","1071","1105","1105","1104","1103","1102","1101","1100","1099"
"45","895","332","536","659","748","795","818","830","842","853"
"46","622","341","487","551","583","602","608","612","612","611"
"47","516","216","336","397","425","453","469","482","485","488"
"48","639","339","480","546","585","607","621","625","626","627"
"49","284","202","246","270","278","278","278","277","276","275"
"50","639","362","522","587","611","625","625","629","630","629"
"51","296","207","266","285","289","289","288","287","287","287"
"52","360","214","287","322","338","347","351","352","352","351"
"53","977","673","846","921","956","964","966","967","967","968"
"54","1446","564","873","1063","1189","1278","1322","1356","1374","1388"
"55","566","270","413","482","515","538","544","546","549","551"
"56","884","365","553","655","713","769","795","819","836","843"
"57","319","162","240","271","288","301","302","304","306","307"
"58","1537","783","1135","1319","1417","1463","1497","1509","1518","1520"
"59","953","674","846","903","929","938","942","944","944","943"
"60","1117","840","1041","1097","1108","1111","1110","1109","1109","1108"
"61","459","233","342","384","410","423","433","442","444","443"
"62","464","185","290","344","386","412","421","434","439","443"
"63","643","330","465","537","580","604","618","622","628","630"
"64","89","54","75","79","79","80","81","82","81","80"
"65","593","237","375","452","504","539","550","559","563","568"
"66","354","189","271","313","333","341","342","345","346","345"
"67","424","245","333","367","390","405","407","411","414","413"
"68","205","94","138","169","179","187","190","193","192","192"
"69","221","147","194","207","214","215","215","214","213","212"
"70","186","160","177","182","182","181","180","179","178","177"
"71","245","225","243","242","241","240","239","238","237","236"
"72","175","115","143","162","167","169","169","168","167","166"
"73","516","292","403","466","490","499","503","504","503","505"
"74","774","454","645","713","745","762","761","763","764","764"
"75","470","335","420","448","459","462","462","462","462","461"
"76","597","367","501","555","574","581","586","587","588","587"
"77","509","503","507","506","505","504","503","502","501","500"
"78","649","429","578","614","632","634","639","639","640","639"
"79","191","147","178","184","187","186","185","184","183","182"
"80","281","124","179","211","233","242","252","258","261","265"
"81","483","310","411","453","467","470","473","473","473","473"
"82","294","114","180","217","235","249","258","266","268","270"
"83","522","187","300","378","424","451","470","488","495","497"
"84","1068","583","841","958","999","1027","1034","1040","1043","1046"
"85","570","370","491","531","549","555","557","560","560","559"
"86","575","377","485","537","558","561","565","566","565","564"
"87","932","627","822","879","906","919","919","920","923","922"
"88","1285","708","1012","1142","1206","1244","1257","1266","1269","1269"
"89","1428","912","1261","1361","1399","1410","1418","1420","1419","1418"
"90","1003","775","945","984","996","997","997","996","995","994"
"91","523","150","245","314","349","390","414","430","450","459"
"92","1307","523","828","1003","1099","1162","1199","1228","1251","1260"
"93","984","836","953","973","978","978","978","977","976","975"
"94","768","606","728","753","759","761","762","761","760","759"
"95","906","839","896","903","902","901","900","899","898","897"
"96","220","142","197","210","214","213","213","212","212","211"
"97","2422","898","1404","1744","1952","2086","2164","2227","2280","2312"
"98","964","415","623","756","819","864","891","909","922","928"
"99","1075","388","608","761","877","940","980","1013","1027","1034"
"100","455","323","403","438","443","447","447","448","447","446"
"101","1601","1089","1424","1539","1577","1591","1593","1592","1592","1591"
"102","298","174","241","265","279","284","287","289","288","287"
"103","488","324","430","465","473","478","478","478","477","476"
"104","796","288","451","555","620","673","699","718","729","740"
"105","1451","891","1196","1319","1377","1405","1416","1429","1436","1436"
"106","2456","983","1542","1868","2067","2187","2259","2309","2338","2353"
"107","2220","1223","1708","1944","2046","2123","2152","2177","2180","2190"
"108","1012","614","839","923","962","986","995","1000","1001","1002"
"109","971","550","773","866","911","939","947","950","953","956"
"110","1464","580","917","1117","1227","1298","1354","1380","1399","1418"
"111","799","549","713","762","776","784","788","788","788","788"
"112","915","450","675","786","832","861","879","886","892","893"
