"session_id","total_utterances","fuzzy_2_1","fuzzy_3_1","fuzzy_4_1","fuzzy_5_1","fuzzy_6_1","fuzzy_7_1","fuzzy_8_1","fuzzy_9_1","fuzzy_10_1"
"2","1064","103","212","295","359","408","466","517","569","613"
"3","2059","245","450","648","831","949","1046","1156","1261","1337"
"4","1198","121","256","351","428","492","547","618","664","716"
"5","865","99","181","253","314","365","417","451","481","528"
"279","1562","257","446","604","727","827","934","1008","1073","1129"
"379","1783","238","429","594","737","869","969","1054","1116","1183"
"380","615","99","177","231","277","310","340","382","403","418"
"381","1591","249","462","628","745","852","959","1043","1103","1149"
"382","2022","208","395","560","697","817","942","1047","1143","1236"
"383","1461","204","368","496","590","675","763","853","915","965"
"384","584","80","130","177","223","276","308","331","360","377"
"385","1603","181","331","460","564","648","739","825","901","944"
"386","1199","119","246","338","423","502","571","632","684","746"
"387","1331","165","303","433","549","616","687","750","798","847"
"388","3249","331","605","855","1102","1307","1477","1636","1772","1897"
"389","929","141","260","373","450","520","557","595","629","652"
"390","3384","357","653","887","1121","1340","1536","1714","1841","1961"
"391","1510","165","320","443","546","645","735","801","853","902"
"392","1646","130","261","391","494","585","669","742","827","886"
"393","750","91","161","231","275","315","362","415","444","457"
"394","1631","186","346","510","629","733","817","892","963","1033"
"395","1830","260","466","639","765","883","978","1061","1129","1201"
"396","2202","237","405","581","739","875","997","1100","1199","1282"
"397","1136","120","228","301","384","469","533","591","627","678"
"398","1946","189","355","511","619","742","849","929","1020","1077"
"400","2192","200","398","587","730","851","974","1066","1159","1246"
"401","2712","299","582","817","989","1168","1322","1460","1581","1698"
"402","1734","203","356","493","635","758","867","944","1017","1076"
"404","3754","375","714","1011","1266","1498","1723","1906","2067","2228"
"405","1469","190","393","534","649","738","820","897","945","989"
"406","1335","175","321","455","560","653","724","807","877","926"
"407","594","75","133","196","248","285","307","333","351","370"
"408","2261","267","473","668","809","936","1059","1162","1267","1351"
"409","1041","146","270","362","463","526","581","635","687","720"
"410","1945","246","447","617","759","883","1011","1102","1171","1228"
"411","772","64","121","177","227","273","322","356","382","410"
"412","1537","274","482","657","775","889","968","1036","1092","1137"
"413","972","107","184","275","346","412","454","491","531","557"
"414","1183","151","287","412","509","598","675","728","773","811"
"415","2056","262","478","655","803","936","1083","1161","1248","1330"
"417","2096","255","458","633","775","890","1030","1134","1239","1321"
"418","2677","341","626","879","1061","1255","1399","1529","1632","1730"
"419","1634","178","340","463","585","709","805","888","956","1021"
"420","165","49","90","115","131","138","141","145","144","146"
"421","942","194","312","424","508","570","622","665","705","732"
"422","889","179","303","407","481","534","577","617","646","672"
"423","2257","251","449","637","769","918","1036","1146","1250","1325"
"424","1150","118","240","347","421","503","573","626","681","717"
"425","700","91","186","271","329","372","409","448","466","489"
"426","644","113","185","276","336","376","403","433","462","481"
"427","553","100","174","240","281","312","336","366","385","402"
"428","264","41","75","104","131","151","171","183","193","198"
"429","471","79","139","194","231","260","296","319","336","352"
"430","1510","231","386","529","643","769","866","934","988","1046"
"431","433","93","150","195","230","260","279","295","310","322"
"432","541","166","253","311","358","398","424","443","453","458"
"434","809","167","304","414","491","541","582","611","640","667"
"435","1671","228","426","585","717","833","934","1015","1063","1118"
"438","672","97","169","219","266","332","380","410","433","454"
"439","1240","205","368","508","617","694","764","821","859","912"
"440","679","76","153","229","276","311","341","373","403","429"
"441","589","78","160","224","267","306","338","368","385","406"
"442","658","141","238","319","381","427","464","487","509","531"
"445","806","156","257","353","408","448","492","523","549","577"
"446","775","116","200","301","372","428","469","510","544","579"
"447","1217","157","306","417","503","583","639","704","750","791"
"448","671","103","183","256","318","378","419","455","480","502"
"450","769","90","178","246","319","363","404","440","472","493"
"451","669","107","192","266","324","376","412","447","466","489"
"452","489","81","149","222","275","314","337","355","370","382"
"454","934","138","229","297","364","431","505","548","583","606"
"457","392","52","104","144","182","202","221","237","256","274"
"458","479","72","146","203","249","287","313","334","355","379"
"459","478","72","116","160","196","231","255","278","308","327"
"460","1032","156","263","358","449","523","597","648","698","742"
"463","1027","93","190","281","360","414","475","521","567","610"
"464","604","86","147","193","259","289","331","353","378","405"
"465","1400","172","307","426","529","622","691","747","800","854"
"466","1164","265","463","619","735","817","891","944","974","1002"
"467","1582","182","318","449","584","675","762","844","915","969"
"468","947","174","306","407","492","557","606","649","690","715"
"469","1180","166","311","422","525","604","680","728","777","819"
"470","1576","248","429","576","701","813","903","976","1038","1089"
"471","868","160","271","390","459","512","565","614","646","666"
"472","750","99","180","243","296","352","383","421","461","500"
"473","2122","387","681","901","1083","1226","1349","1443","1512","1576"
"474","1004","180","329","436","517","571","634","681","728","763"
"475","2802","389","724","997","1251","1427","1591","1754","1879","1979"
"476","1492","238","434","581","693","786","870","946","1012","1060"
"477","2065","245","436","627","767","908","1021","1118","1207","1269"
"6","757","92","179","234","288","348","392","423","450","481"
"7","758","137","235","309","362","417","452","493","514","534"
"8","1368","209","371","518","632","717","797","852","897","922"
"9","245","82","114","137","156","164","170","181","187","191"
"10","748","92","168","233","273","318","356","403","433","467"
"11","732","101","200","264","313","357","393","427","457","479"
"12","919","159","277","361","434","514","560","603","642","667"
"13","768","105","204","275","343","401","444","475","505","531"
"14","391","79","130","166","201","244","262","277","293","303"
"15","195","92","135","151","162","167","172","174","178","177"
"16","237","54","91","113","130","150","160","171","176","184"
"17","530","90","145","203","245","277","306","328","350","364"
"18","969","165","265","358","419","478","526","559","601","634"
"19","800","108","198","284","337","389","437","472","498","524"
"20","900","121","207","283","352","408","440","469","505","538"
"21","218","30","55","79","96","110","125","134","146","155"
"22","712","112","193","274","331","380","425","462","486","504"
"23","253","44","89","118","142","163","172","178","187","193"
"24","209","42","54","72","95","105","117","124","133","140"
"25","1134","131","266","376","483","553","613","672","724","762"
"26","421","100","171","226","258","285","313","325","340","348"
"27","989","180","331","442","524","577","637","665","697","737"
"28","1058","110","225","323","391","445","501","549","583","622"
"29","1195","169","294","396","478","547","600","671","726","766"
"30","667","77","134","196","236","264","300","327","359","388"
"31","369","63","122","157","184","211","233","246","260","267"
"32","787","141","230","311","384","437","475","498","536","555"
"33","476","61","100","132","164","199","223","237","260","285"
"34","1419","163","303","392","485","565","632","696","748","812"
"35","597","74","143","190","240","279","324","353","383","400"
"36","179","62","86","102","124","130","137","145","149","150"
"37","1103","115","214","315","391","474","525","575","618","654"
"38","845","108","199","269","341","389","443","488","529","556"
"39","1143","135","262","378","456","535","617","681","725","777"
"40","962","144","254","330","400","463","520","572","609","639"
"42","754","109","203","270","332","386","422","457","490","524"
"43","870","107","192","266","329","381","440","484","509","550"
"44","1108","150","268","379","473","551","615","657","713","744"
"45","895","113","214","287","347","431","497","552","589","621"
"181","3082","439","771","1042","1300","1506","1693","1832","1966","2077"
"182","1510","189","350","474","580","677","749","831","884","936"
"183","1974","208","430","605","742","883","983","1067","1154","1225"
"184","1456","136","292","412","530","618","675","750","809","866"
"185","438","78","146","198","238","271","297","312","331","343"
"186","765","71","156","220","275","313","368","411","437","468"
"187","1939","342","577","791","952","1081","1177","1260","1314","1383"
"188","182","25","56","75","93","103","113","121","126","127"
"189","541","94","151","211","257","301","326","353","381","398"
"190","804","120","209","290","354","411","451","483","529","562"
"191","389","47","88","115","140","167","187","206","228","240"
"192","1421","136","261","378","466","550","630","687","762","822"
"193","817","87","167","229","294","348","383","421","460","492"
"194","1101","122","223","316","399","482","547","601","644","676"
"195","743","61","135","191","236","277","317","358","392","421"
"196","967","117","228","327","416","472","522","569","609","647"
"197","1326","164","310","431","543","648","709","778","824","868"
"198","977","164","289","379","450","512","561","610","647","670"
"199","1609","197","377","522","648","757","843","909","973","1029"
"200","2179","334","617","827","992","1135","1275","1381","1482","1558"
"201","151","15","27","48","58","64","72","86","94","98"
"202","435","39","66","99","132","156","180","196","221","238"
"203","1391","162","313","427","529","633","714","789","842","894"
"204","1636","166","303","445","547","636","718","792","861","927"
"205","762","80","155","228","282","338","379","415","442","474"
"206","915","106","182","249","316","368","403","443","485","529"
"207","1606","202","370","496","640","743","827","913","976","1027"
"208","1107","123","226","323","394","472","536","592","646","687"
"209","481","66","128","177","215","261","278","298","313","330"
"210","1947","236","427","590","719","857","975","1080","1169","1245"
"211","1668","187","335","454","556","650","757","826","894","967"
"213","1103","108","204","301","367","428","481","542","587","626"
"214","406","28","78","116","140","167","191","200","221","231"
"215","1640","152","296","431","533","625","704","785","854","908"
"216","1157","113","199","296","368","453","528","584","631","674"
"217","1696","124","257","384","485","577","662","732","812","889"
"218","1287","193","386","522","623","705","773","830","888","932"
"219","1063","143","271","366","450","518","577","631","679","716"
"220","2480","231","444","645","806","972","1103","1229","1334","1438"
"221","4205","625","1115","1523","1848","2138","2352","2536","2679","2820"
"222","2805","274","502","698","889","1070","1200","1326","1456","1566"
"223","782","155","264","341","391","444","493","526","544","566"
"224","1952","241","450","613","780","894","1010","1092","1173","1254"
"225","1050","213","341","448","538","626","684","732","772","805"
"226","3173","313","620","865","1081","1261","1447","1594","1743","1842"
"227","1021","142","274","361","443","506","580","627","680","720"
"228","664","113","201","261","316","352","393","428","457","484"
"229","2760","388","729","999","1221","1426","1588","1719","1826","1932"
"231","904","141","248","358","418","494","540","592","627","666"
"232","249","54","100","128","145","164","173","185","193","204"
"233","746","113","184","261","321","374","410","455","484","515"
"234","983","124","224","310","387","453","519","574","612","650"
"235","681","131","251","343","413","455","494","517","534","551"
"236","1603","193","361","484","605","709","801","880","943","997"
"237","497","89","161","218","265","296","328","345","365","376"
"238","2101","205","399","573","711","833","959","1072","1161","1238"
"239","1010","205","347","465","547","607","657","709","743","770"
"240","1405","212","391","533","622","704","769","835","890","952"
"241","1108","147","274","371","480","552","607","666","720","769"
"242","1119","143","257","348","444","521","584","643","689","724"
"243","1089","114","207","300","380","449","504","559","604","648"
"244","800","96","177","247","307","356","415","454","487","519"
"245","613","90","159","212","273","304","332","366","388","418"
"246","577","76","135","177","216","247","275","306","338","359"
"248","1121","147","251","354","430","496","560","621","665","711"
"250","1332","162","293","410","509","592","651","710","769","823"
"251","1093","183","323","433","512","587","638","685","733","767"
